Input,Coverage,Assembler,Polisher,Id,Isolet,Organism,Genome-type,Gene-number,Pomoxis-version,Mean-accuracy,Median-accuracy,Mean-deletion,Median-deletion,Mean-insertion,Median-insertion,Mean-idenity,Median-idenity,Isolet-coverage
voltrax--100x-flye--03.fasta,100,flye,NA,03,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye--04.fasta,100,flye,NA,04,all,all,all,all,NA,19.06,inf,19.63,inf,30.39,inf,32.09,inf,NA
voltrax--100x-flye--04.fasta,100,flye,NA,04,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.66,26.16,19.23,26.19,29.99,inf,31.69,inf,95.205
voltrax--100x-flye--04.fasta,100,flye,NA,04,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,76.503
voltrax--100x-flye--04.fasta,100,flye,NA,04,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--04.fasta,100,flye,NA,04,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--05.fasta,100,flye,NA,05,all,all,all,all,NA,18.96,inf,19.52,inf,30.25,inf,32.07,inf,NA
voltrax--100x-flye--05.fasta,100,flye,NA,05,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.63,34.50,19.20,34.86,29.92,inf,31.75,inf,91.030
voltrax--100x-flye--05.fasta,100,flye,NA,05,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,63.248
voltrax--100x-flye--05.fasta,100,flye,NA,05,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,95.217
voltrax--100x-flye--05.fasta,100,flye,NA,05,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,56.799
voltrax--100x-flye--06.fasta,100,flye,NA,06,all,all,all,all,NA,18.55,inf,19.14,inf,29.63,inf,31.54,inf,NA
voltrax--100x-flye--06.fasta,100,flye,NA,06,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.02,26.72,18.61,26.74,29.09,inf,31.01,inf,74.534
voltrax--100x-flye--06.fasta,100,flye,NA,06,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,87.265
voltrax--100x-flye--06.fasta,100,flye,NA,06,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,96.706
voltrax--100x-flye--06.fasta,100,flye,NA,06,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--07.fasta,100,flye,NA,07,all,all,all,all,NA,18.46,inf,19.07,inf,29.33,inf,31.37,inf,NA
voltrax--100x-flye--07.fasta,100,flye,NA,07,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,17.95,inf,18.55,inf,28.98,inf,30.85,inf,71.912
voltrax--100x-flye--07.fasta,100,flye,NA,07,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,37.12,37.12,inf,inf,37.12,37.12,inf,inf,81.348
voltrax--100x-flye--07.fasta,100,flye,NA,07,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,28.14,26.36,inf,inf,28.14,26.36,inf,inf,88.132
voltrax--100x-flye--07.fasta,100,flye,NA,07,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--08.fasta,100,flye,NA,08,all,all,all,all,NA,18.86,37.96,19.45,inf,29.98,inf,31.70,inf,NA
voltrax--100x-flye--08.fasta,100,flye,NA,08,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.37,37.24,18.95,37.42,29.49,inf,31.33,inf,83.980
voltrax--100x-flye--08.fasta,100,flye,NA,08,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,37.96,37.96,inf,inf,inf,inf,37.96,37.96,98.627
voltrax--100x-flye--08.fasta,100,flye,NA,08,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,84.883
voltrax--100x-flye--08.fasta,100,flye,NA,08,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,34.76,34.76,inf,inf,inf,inf,34.76,34.76,100.000
voltrax--100x-flye--09.fasta,100,flye,NA,09,all,all,all,all,NA,18.68,inf,19.26,inf,29.84,inf,31.58,inf,NA
voltrax--100x-flye--09.fasta,100,flye,NA,09,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.25,36.90,18.84,37.07,29.41,inf,31.15,inf,81.821
voltrax--100x-flye--09.fasta,100,flye,NA,09,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,98.485
voltrax--100x-flye--09.fasta,100,flye,NA,09,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--09.fasta,100,flye,NA,09,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye--10.fasta,100,flye,NA,10,all,all,all,all,NA,19.81,38.24,20.41,39.21,30.95,inf,32.60,inf,NA
voltrax--100x-flye--10.fasta,100,flye,NA,10,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,19.57,38.24,20.15,39.21,30.69,inf,32.82,inf,118.262
voltrax--100x-flye--10.fasta,100,flye,NA,10,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,81.458
voltrax--100x-flye--10.fasta,100,flye,NA,10,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,25.23,25.23,34.76,34.76,inf,inf,25.73,25.73,100.000
voltrax--100x-flye--10.fasta,100,flye,NA,10,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye--11.fasta,100,flye,NA,11,all,all,all,all,NA,18.38,inf,18.98,inf,29.37,inf,31.29,inf,NA
voltrax--100x-flye--11.fasta,100,flye,NA,11,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,18.02,43.01,18.62,inf,29.01,inf,30.92,inf,73.082
voltrax--100x-flye--11.fasta,100,flye,NA,11,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,inf,inf,inf,inf,inf,inf,inf,inf,63.737
voltrax--100x-flye--11.fasta,100,flye,NA,11,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,100.000
voltrax--100x-flye--11.fasta,100,flye,NA,11,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-flye--12.fasta,100,flye,NA,12,all,all,all,all,NA,20.04,41.00,20.61,inf,31.33,inf,33.15,inf,NA
voltrax--100x-flye--12.fasta,100,flye,NA,12,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,19.69,36.20,20.25,36.38,30.98,inf,32.87,inf,116.149
voltrax--100x-flye--12.fasta,100,flye,NA,12,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,37.99,37.99,inf,inf,inf,inf,37.99,37.99,99.321
voltrax--100x-flye--12.fasta,100,flye,NA,12,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,inf,inf,inf,inf,inf,inf,inf,inf,65.839
voltrax--100x-flye--12.fasta,100,flye,NA,12,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,inf,inf,inf,inf,inf,inf,inf,inf,99.365
voltrax--100x-raven-medaka--01-polished.fasta,100,raven,medaka,01,all,all,all,all,NA,21.87,40.09,22.72,40.09,30.84,inf,34.68,inf,NA
voltrax--100x-raven-medaka--01-polished.fasta,100,raven,medaka,01,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,21.87,40.09,22.72,40.09,30.84,inf,34.68,inf,101.480
voltrax--100x-raven-medaka--01-polished.fasta,100,raven,medaka,01,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-raven-medaka--01-polished.fasta,100,raven,medaka,01,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-raven-medaka--01-polished.fasta,100,raven,medaka,01,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-raven-medaka--02-polished.fasta,100,raven,medaka,02,all,all,all,all,NA,13.05,14.44,14.04,19.79,23.07,inf,22.52,inf,NA
voltrax--100x-raven-medaka--02-polished.fasta,100,raven,medaka,02,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,12.70,12.52,13.62,18.66,22.56,inf,22.84,inf,10.827
voltrax--100x-raven-medaka--02-polished.fasta,100,raven,medaka,02,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,17.96,17.96,21.31,21.31,inf,inf,20.58,20.58,49.683
voltrax--100x-raven-medaka--02-polished.fasta,100,raven,medaka,02,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-raven-medaka--02-polished.fasta,100,raven,medaka,02,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-raven-medaka--03-polished.fasta,100,raven,medaka,03,all,all,all,all,NA,21.90,40.55,22.52,40.55,33.80,inf,33.55,inf,NA
voltrax--100x-raven-medaka--03-polished.fasta,100,raven,medaka,03,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,21.98,inf,22.50,inf,33.70,inf,35.30,inf,110.851
voltrax--100x-raven-medaka--03-polished.fasta,100,raven,medaka,03,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,19.29,19.29,23.17,23.17,inf,inf,21.52,21.52,90.077
voltrax--100x-raven-medaka--03-polished.fasta,100,raven,medaka,03,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-raven-medaka--03-polished.fasta,100,raven,medaka,03,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-raven-medaka--04-polished.fasta,100,raven,medaka,04,all,all,all,all,NA,22.27,36.38,22.96,inf,33.39,inf,33.89,inf,NA
voltrax--100x-raven-medaka--04-polished.fasta,100,raven,medaka,04,Escherichia-coli-plasmid-1,Escherichia coli,plasmid,1,NA,22.25,39.39,22.86,39.39,33.30,inf,34.98,inf,108.789
voltrax--100x-raven-medaka--04-polished.fasta,100,raven,medaka,04,Staphylococcus-aureus-plasmid-3,Staphylococcus aureus,plasmid,3,NA,23.52,23.52,inf,inf,inf,inf,23.50,23.50,89.676
voltrax--100x-raven-medaka--04-polished.fasta,100,raven,medaka,04,Staphylococcus-aureus-plasmid-1,Staphylococcus aureus,plasmid,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-raven-medaka--04-polished.fasta,100,raven,medaka,04,Staphylococcus-aureus-plasmid-2,Staphylococcus aureus,plasmid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
voltrax--100x-raven-medaka--05-polished.fasta,100,raven,medaka,05,all,all,all,all,NA,20.87,25.85,21.55,35.69,32.42,inf,32.06,inf,NA
