Input-reads,Input-assembly,Output,Coverage,Assembler,Version,Polisher,User-time,System-time,Elapsed-time,Mean-memory-kb,Mean-resident-memory-kb,Max-resident-memory-kb,Date
Voltrax_20190924.30x.sample.03.fastq,voltrax--30x-redbean--03.fasta,voltrax--30x-redbean-medaka--03-polished.fasta,30,redbean,2.5,racon1x-medaka,1621.39,61.44,236.12,0,0,7852256,20210716-20:46:28
Voltrax_20190924.30x.sample.04.fastq,voltrax--30x-redbean--04.fasta,voltrax--30x-redbean-medaka--04-polished.fasta,30,redbean,2.5,racon1x-medaka,1558.20,57.46,226.87,0,0,7828924,20210716-20:50:24
Voltrax_20190924.30x.sample.05.fastq,voltrax--30x-redbean--05.fasta,voltrax--30x-redbean-medaka--05-polished.fasta,30,redbean,2.5,racon1x-medaka,1605.53,57.47,220.65,0,0,7861732,20210716-20:54:11
Voltrax_20190924.30x.sample.06.fastq,voltrax--30x-redbean--06.fasta,voltrax--30x-redbean-medaka--06-polished.fasta,30,redbean,2.5,racon1x-medaka,1588.12,59.10,215.52,0,0,7872684,20210716-20:57:52
Voltrax_20190924.30x.sample.07.fastq,voltrax--30x-redbean--07.fasta,voltrax--30x-redbean-medaka--07-polished.fasta,30,redbean,2.5,racon1x-medaka,1614.30,60.84,217.29,0,0,7836888,20210716-21:01:27
Voltrax_20190924.30x.sample.08.fastq,voltrax--30x-redbean--08.fasta,voltrax--30x-redbean-medaka--08-polished.fasta,30,redbean,2.5,racon1x-medaka,1541.81,58.20,222.43,0,0,7809164,20210716-21:05:04
Voltrax_20190924.30x.sample.09.fastq,voltrax--30x-redbean--09.fasta,voltrax--30x-redbean-medaka--09-polished.fasta,30,redbean,2.5,racon1x-medaka,1597.99,60.13,228.50,0,0,7835528,20210716-21:08:47
Voltrax_20190924.30x.sample.10.fastq,voltrax--30x-redbean--10.fasta,voltrax--30x-redbean-medaka--10-polished.fasta,30,redbean,2.5,racon1x-medaka,1617.48,59.99,232.94,0,0,7824300,20210716-21:12:35
Voltrax_20190924.30x.sample.11.fastq,voltrax--30x-redbean--11.fasta,voltrax--30x-redbean-medaka--11-polished.fasta,30,redbean,2.5,racon1x-medaka,1622.21,60.02,226.85,0,0,7825076,20210716-21:16:28
Voltrax_20190924.30x.sample.12.fastq,voltrax--30x-redbean--12.fasta,voltrax--30x-redbean-medaka--12-polished.fasta,30,redbean,2.5,racon1x-medaka,1618.00,60.24,231.68,0,0,7858076,20210716-21:20:15
Voltrax_20190924.30x.sample.01.fastq,voltrax--30x-redbean-wtpoa--01.fasta,voltrax--30x-redbean-wtpoa-medaka--01-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1626.22,61.42,227.62,0,0,7841880,20210716-21:24:07
Voltrax_20190924.30x.sample.02.fastq,voltrax--30x-redbean-wtpoa--02.fasta,voltrax--30x-redbean-wtpoa-medaka--02-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1589.05,59.22,219.64,0,0,7871652,20210716-21:27:55
Voltrax_20190924.30x.sample.03.fastq,voltrax--30x-redbean-wtpoa--03.fasta,voltrax--30x-redbean-wtpoa-medaka--03-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1590.22,61.19,219.03,0,0,7861332,20210716-21:31:34
Voltrax_20190924.30x.sample.04.fastq,voltrax--30x-redbean-wtpoa--04.fasta,voltrax--30x-redbean-wtpoa-medaka--04-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1539.93,58.63,214.27,0,0,7827148,20210716-21:35:14
Voltrax_20190924.30x.sample.05.fastq,voltrax--30x-redbean-wtpoa--05.fasta,voltrax--30x-redbean-wtpoa-medaka--05-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1601.49,60.12,221.00,0,0,7862128,20210716-21:38:48
Voltrax_20190924.30x.sample.06.fastq,voltrax--30x-redbean-wtpoa--06.fasta,voltrax--30x-redbean-wtpoa-medaka--06-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1593.37,59.24,226.64,0,0,7883192,20210716-21:42:29
Voltrax_20190924.30x.sample.07.fastq,voltrax--30x-redbean-wtpoa--07.fasta,voltrax--30x-redbean-wtpoa-medaka--07-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1623.22,59.90,221.47,0,0,7808988,20210716-21:46:16
Voltrax_20190924.30x.sample.08.fastq,voltrax--30x-redbean-wtpoa--08.fasta,voltrax--30x-redbean-wtpoa-medaka--08-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1516.81,57.03,213.15,0,0,7793900,20210716-21:49:57
Voltrax_20190924.30x.sample.09.fastq,voltrax--30x-redbean-wtpoa--09.fasta,voltrax--30x-redbean-wtpoa-medaka--09-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1582.58,60.02,226.67,0,0,7846680,20210716-21:53:30
Voltrax_20190924.30x.sample.10.fastq,voltrax--30x-redbean-wtpoa--10.fasta,voltrax--30x-redbean-wtpoa-medaka--10-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1592.46,59.17,225.74,0,0,7832696,20210716-21:57:17
Voltrax_20190924.30x.sample.11.fastq,voltrax--30x-redbean-wtpoa--11.fasta,voltrax--30x-redbean-wtpoa-medaka--11-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1595.63,59.82,222.07,0,0,7835408,20210716-22:01:03
Voltrax_20190924.30x.sample.12.fastq,voltrax--30x-redbean-wtpoa--12.fasta,voltrax--30x-redbean-wtpoa-medaka--12-polished.fasta,30,redbean,2.5,wtpoa-racon1x-medaka,1630.60,59.07,232.25,0,0,7842512,20210716-22:04:45
Voltrax_20190924.50x.sample.01.fastq,voltrax--50x-flye--01.fasta,voltrax--50x-flye-medaka--01-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2368.43,77.40,320.60,0,0,10560068,20210716-22:08:40
Voltrax_20190924.50x.sample.02.fastq,voltrax--50x-flye--02.fasta,voltrax--50x-flye-medaka--02-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2336.56,74.52,304.83,0,0,10576124,20210716-22:14:00
Voltrax_20190924.50x.sample.03.fastq,voltrax--50x-flye--03.fasta,voltrax--50x-flye-medaka--03-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2333.91,74.92,308.22,0,0,10561120,20210716-22:19:06
Voltrax_20190924.50x.sample.04.fastq,voltrax--50x-flye--04.fasta,voltrax--50x-flye-medaka--04-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2360.89,76.19,310.94,0,0,10547976,20210716-22:24:14
Voltrax_20190924.50x.sample.05.fastq,voltrax--50x-flye--05.fasta,voltrax--50x-flye-medaka--05-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2341.46,77.22,307.80,0,0,10563612,20210716-22:29:25
Voltrax_20190924.50x.sample.06.fastq,voltrax--50x-flye--06.fasta,voltrax--50x-flye-medaka--06-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2344.93,76.61,310.87,0,0,10578044,20210716-22:34:33
Voltrax_20190924.50x.sample.07.fastq,voltrax--50x-flye--07.fasta,voltrax--50x-flye-medaka--07-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2332.72,75.89,310.17,0,0,10551996,20210716-22:39:44
Voltrax_20190924.50x.sample.08.fastq,voltrax--50x-flye--08.fasta,voltrax--50x-flye-medaka--08-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2341.27,76.74,305.85,0,0,10542248,20210716-22:44:54
Voltrax_20190924.50x.sample.09.fastq,voltrax--50x-flye--09.fasta,voltrax--50x-flye-medaka--09-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2331.56,73.93,300.94,0,0,10562532,20210716-22:50:00
Voltrax_20190924.50x.sample.10.fastq,voltrax--50x-flye--10.fasta,voltrax--50x-flye-medaka--10-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2349.74,77.33,321.32,0,0,10566484,20210716-22:55:01
Voltrax_20190924.50x.sample.11.fastq,voltrax--50x-flye--11.fasta,voltrax--50x-flye-medaka--11-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2335.55,77.70,305.35,0,0,10593396,20210716-23:00:22
Voltrax_20190924.50x.sample.12.fastq,voltrax--50x-flye--12.fasta,voltrax--50x-flye-medaka--12-polished.fasta,50,flye,2.8.3-b1725,racon1x-medaka,2346.23,79.48,309.25,0,0,10578608,20210716-23:05:28
Voltrax_20190924.50x.sample.01.fastq,voltrax--50x-redbean--01.fasta,voltrax--50x-redbean-medaka--01-polished.fasta,50,redbean,2.5,racon1x-medaka,2682.91,82.69,359.61,0,0,10463632,20210716-23:10:37
Voltrax_20190924.50x.sample.02.fastq,voltrax--50x-redbean--02.fasta,voltrax--50x-redbean-medaka--02-polished.fasta,50,redbean,2.5,racon1x-medaka,2628.40,82.94,322.21,0,0,10496476,20210716-23:16:37
Voltrax_20190924.50x.sample.03.fastq,voltrax--50x-redbean--03.fasta,voltrax--50x-redbean-medaka--03-polished.fasta,50,redbean,2.5,racon1x-medaka,2586.47,79.36,313.51,0,0,10456028,20210716-23:21:59
Voltrax_20190924.50x.sample.04.fastq,voltrax--50x-redbean--04.fasta,voltrax--50x-redbean-medaka--04-polished.fasta,50,redbean,2.5,racon1x-medaka,2694.40,83.49,335.26,0,0,10467732,20210716-23:27:13
Voltrax_20190924.50x.sample.05.fastq,voltrax--50x-redbean--05.fasta,voltrax--50x-redbean-medaka--05-polished.fasta,50,redbean,2.5,racon1x-medaka,2715.23,82.57,330.30,0,0,10452676,20210716-23:32:48
Voltrax_20190924.50x.sample.06.fastq,voltrax--50x-redbean--06.fasta,voltrax--50x-redbean-medaka--06-polished.fasta,50,redbean,2.5,racon1x-medaka,2636.33,84.05,332.35,0,0,10480028,20210716-23:38:18
Voltrax_20190924.50x.sample.07.fastq,voltrax--50x-redbean--07.fasta,voltrax--50x-redbean-medaka--07-polished.fasta,50,redbean,2.5,racon1x-medaka,2603.60,80.92,322.88,0,0,10441424,20210716-23:43:51
Voltrax_20190924.50x.sample.08.fastq,voltrax--50x-redbean--08.fasta,voltrax--50x-redbean-medaka--08-polished.fasta,50,redbean,2.5,racon1x-medaka,2477.13,79.00,309.41,0,0,10388076,20210716-23:49:14
Voltrax_20190924.50x.sample.09.fastq,voltrax--50x-redbean--09.fasta,voltrax--50x-redbean-medaka--09-polished.fasta,50,redbean,2.5,racon1x-medaka,2682.41,80.95,325.51,0,0,10462780,20210716-23:54:23
Voltrax_20190924.50x.sample.10.fastq,voltrax--50x-redbean--10.fasta,voltrax--50x-redbean-medaka--10-polished.fasta,50,redbean,2.5,racon1x-medaka,2677.60,82.12,331.50,0,0,10481904,20210716-23:59:49
Voltrax_20190924.50x.sample.11.fastq,voltrax--50x-redbean--11.fasta,voltrax--50x-redbean-medaka--11-polished.fasta,50,redbean,2.5,racon1x-medaka,2609.08,84.45,337.67,0,0,10448076,20210717-00:05:20
Voltrax_20190924.50x.sample.12.fastq,voltrax--50x-redbean--12.fasta,voltrax--50x-redbean-medaka--12-polished.fasta,50,redbean,2.5,racon1x-medaka,2619.18,82.28,328.70,0,0,10472500,20210717-00:10:58
Voltrax_20190924.50x.sample.01.fastq,voltrax--50x-redbean-wtpoa--01.fasta,voltrax--50x-redbean-wtpoa-medaka--01-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2630.43,81.61,326.49,0,0,10444888,20210717-00:16:27
Voltrax_20190924.50x.sample.02.fastq,voltrax--50x-redbean-wtpoa--02.fasta,voltrax--50x-redbean-wtpoa-medaka--02-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2622.93,82.67,322.28,0,0,10494304,20210717-00:21:53
Voltrax_20190924.50x.sample.03.fastq,voltrax--50x-redbean-wtpoa--03.fasta,voltrax--50x-redbean-wtpoa-medaka--03-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2578.47,79.28,317.38,0,0,10446944,20210717-00:27:16
Voltrax_20190924.50x.sample.04.fastq,voltrax--50x-redbean-wtpoa--04.fasta,voltrax--50x-redbean-wtpoa-medaka--04-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2665.97,83.45,330.47,0,0,10473772,20210717-00:32:33
Voltrax_20190924.50x.sample.05.fastq,voltrax--50x-redbean-wtpoa--05.fasta,voltrax--50x-redbean-wtpoa-medaka--05-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2716.24,83.13,327.37,0,0,10476016,20210717-00:38:04
Voltrax_20190924.50x.sample.06.fastq,voltrax--50x-redbean-wtpoa--06.fasta,voltrax--50x-redbean-wtpoa-medaka--06-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2616.16,82.44,329.33,0,0,10452288,20210717-00:43:31
Voltrax_20190924.50x.sample.07.fastq,voltrax--50x-redbean-wtpoa--07.fasta,voltrax--50x-redbean-wtpoa-medaka--07-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2575.10,80.84,320.50,0,0,10438388,20210717-00:49:00
Voltrax_20190924.50x.sample.08.fastq,voltrax--50x-redbean-wtpoa--08.fasta,voltrax--50x-redbean-wtpoa-medaka--08-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2449.97,78.56,305.09,0,0,10371516,20210717-00:54:21
Voltrax_20190924.50x.sample.09.fastq,voltrax--50x-redbean-wtpoa--09.fasta,voltrax--50x-redbean-wtpoa-medaka--09-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2667.37,79.68,325.03,0,0,10470664,20210717-00:59:26
Voltrax_20190924.50x.sample.10.fastq,voltrax--50x-redbean-wtpoa--10.fasta,voltrax--50x-redbean-wtpoa-medaka--10-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2707.11,82.06,337.22,0,0,10485152,20210717-01:04:51
Voltrax_20190924.50x.sample.11.fastq,voltrax--50x-redbean-wtpoa--11.fasta,voltrax--50x-redbean-wtpoa-medaka--11-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2564.90,80.79,320.96,0,0,10447696,20210717-01:10:28
Voltrax_20190924.50x.sample.12.fastq,voltrax--50x-redbean-wtpoa--12.fasta,voltrax--50x-redbean-wtpoa-medaka--12-polished.fasta,50,redbean,2.5,wtpoa-racon1x-medaka,2599.43,81.14,320.93,0,0,10457724,20210717-01:15:49
Voltrax_20190924.100x.sample.01.fastq,voltrax--100x-flye--01.fasta,voltrax--100x-flye-medaka--01-polished.fasta,100,flye,2.8.3-b1725,racon1x-medaka,5646.49,127.91,635.50,0,0,17677132,20210717-01:21:11
Voltrax_20190924.100x.sample.02.fastq,voltrax--100x-flye--02.fasta,voltrax--100x-flye-medaka--02-polished.fasta,100,flye,2.8.3-b1725,racon1x-medaka,5607.82,123.34,613.07,0,0,17249640,20210717-01:31:46
Voltrax_20190924.100x.sample.03.fastq,voltrax--100x-flye--03.fasta,voltrax--100x-flye-medaka--03-polished.fasta,100,flye,2.8.3-b1725,racon1x-medaka,5319.07,126.17,589.70,0,0,17662396,20210717-01:41:59
Voltrax_20190924.100x.sample.04.fastq,voltrax--100x-flye--04.fasta,voltrax--100x-flye-medaka--04-polished.fasta,100,flye,2.8.3-b1725,racon1x-medaka,5643.25,123.52,611.23,0,0,17628128,20210717-01:51:49
Voltrax_20190924.100x.sample.05.fastq,voltrax--100x-flye--05.fasta,voltrax--100x-flye-medaka--05-polished.fasta,100,flye,2.8.3-b1725,racon1x-medaka,5516.13,124.39,598.80,0,0,17626452,20210717-02:02:00
Voltrax_20190924.100x.sample.06.fastq,voltrax--100x-flye--06.fasta,voltrax--100x-flye-medaka--06-polished.fasta,100,flye,2.8.3-b1725,racon1x-medaka,5629.20,125.03,610.58,0,0,17625176,20210717-02:11:59
Voltrax_20190924.100x.sample.07.fastq,voltrax--100x-flye--07.fasta,voltrax--100x-flye-medaka--07-polished.fasta,100,flye,2.8.3-b1725,racon1x-medaka,5642.46,123.28,609.98,0,0,17571260,20210717-02:22:10
